Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rejestracja-logowanie,Chrome 87.0.4280.141,,,2021-01-15 20:12:42,2021-01-15 20:15:08,"2m - 25,981s",PASSED
,,,,,,,
Test Cases/TC_Rejestracja-logowanie/1Błąd rejestracji (pusty string),Chrome 87.0.4280.141,,,2021-01-15 20:12:43,2021-01-15 20:13:00,"17,043s",PASSED
openBrowser(site_url),Chrome 87.0.4280.141,,,2021-01-15 20:12:44,2021-01-15 20:12:53,"9,158s",PASSED
maximizeWindow(),Chrome 87.0.4280.141,,,2021-01-15 20:12:53,2021-01-15 20:12:55,"2,192s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:12:55,2021-01-15 20:12:58,"2,519s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 87.0.4280.141,,,2021-01-15 20:12:58,2021-01-15 20:12:59,"0,587s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_Invalid email address""), ""Invalid email address."")",Chrome 87.0.4280.141,,,2021-01-15 20:12:59,2021-01-15 20:13:00,"1,036s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 20:13:00,2021-01-15 20:13:00,"0,851s",PASSED
,,,,,,,
Test Cases/TC_Rejestracja-logowanie/2Błąd rejestracji (email już istnieje),Chrome 87.0.4280.141,,,2021-01-15 20:13:00,2021-01-15 20:13:18,"17,410s",PASSED
openBrowser(site_url),Chrome 87.0.4280.141,,,2021-01-15 20:13:01,2021-01-15 20:13:10,"8,958s",PASSED
maximizeWindow(),Chrome 87.0.4280.141,,,2021-01-15 20:13:10,2021-01-15 20:13:12,"2,231s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:12,2021-01-15 20:13:14,"2,414s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email_create""), input_email)",Chrome 87.0.4280.141,,,2021-01-15 20:13:14,2021-01-15 20:13:15,"1,012s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:15,2021-01-15 20:13:16,"0,432s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_An account using this email address has _84db44""), ""An account using this email address has already been registered. Please enter a valid password or request a new one."")",Chrome 87.0.4280.141,,,2021-01-15 20:13:16,2021-01-15 20:13:17,"1,177s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 20:13:17,2021-01-15 20:13:18,"0,842s",PASSED
,,,,,,,
Test Cases/TC_Rejestracja-logowanie/3Poprawna rejestracja,Chrome 87.0.4280.141,,,2021-01-15 20:13:18,2021-01-15 20:13:59,"40,892s",PASSED
openBrowser(site_url),Chrome 87.0.4280.141,,,2021-01-15 20:13:18,2021-01-15 20:13:28,"10,124s",PASSED
maximizeWindow(),Chrome 87.0.4280.141,,,2021-01-15 20:13:28,2021-01-15 20:13:31,"2,184s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:31,2021-01-15 20:13:33,"2,656s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email_create""), correct_email)",Chrome 87.0.4280.141,,,2021-01-15 20:13:33,2021-01-15 20:13:34,"0,881s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:34,2021-01-15 20:13:35,"0,441s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr._id_gender""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:35,2021-01-15 20:13:38,"3,008s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), ""name"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:38,2021-01-15 20:13:38,"0,868s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), ""surname"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:38,2021-01-15 20:13:39,"0,757s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 87.0.4280.141,,,2021-01-15 20:13:39,2021-01-15 20:13:40,"0,577s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), ""5"", true)",Chrome 87.0.4280.141,,,2021-01-15 20:13:40,2021-01-15 20:13:41,"1,676s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), ""8"", true)",Chrome 87.0.4280.141,,,2021-01-15 20:13:41,2021-01-15 20:13:43,"1,451s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20212020201920182017201620152014201_28b437""), ""2003"", true)",Chrome 87.0.4280.141,,,2021-01-15 20:13:43,2021-01-15 20:13:46,"3,440s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/div_Your addressFirst name Last name Compan_df68a1""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:46,2021-01-15 20:13:47,"0,478s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), ""street 6"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:47,2021-01-15 20:13:48,"0,870s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Address (Line 2)_address2""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:48,2021-01-15 20:13:48,"0,495s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), ""city"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:48,2021-01-15 20:13:49,"0,868s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/p_State --AlabamaAlaskaArizonaArkansasCalif_c49684""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:49,2021-01-15 20:13:50,"0,524s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), ""17"", true)",Chrome 87.0.4280.141,,,2021-01-15 20:13:50,2021-01-15 20:13:52,"2,326s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), ""12345"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:52,2021-01-15 20:13:53,"1,180s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), ""111222333"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:53,2021-01-15 20:13:54,"0,850s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Chrome 87.0.4280.141,,,2021-01-15 20:13:54,2021-01-15 20:13:57,"3,562s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My account - My Store/h1_My account""), ""MY ACCOUNT"")",Chrome 87.0.4280.141,,,2021-01-15 20:13:57,2021-01-15 20:13:58,"0,472s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 20:13:58,2021-01-15 20:13:59,"0,854s",PASSED
,,,,,,,
Test Cases/TC_Rejestracja-logowanie/4Bląd logowania - złe dane,Chrome 87.0.4280.141,,,2021-01-15 20:13:59,2021-01-15 20:14:47,"48,276s",PASSED
openBrowser(site_url),Chrome 87.0.4280.141,,,2021-01-15 20:13:59,2021-01-15 20:14:09,"10,047s",PASSED
maximizeWindow(),Chrome 87.0.4280.141,,,2021-01-15 20:14:09,2021-01-15 20:14:11,"2,188s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:14:11,2021-01-15 20:14:14,"2,659s",PASSED
"for ([row = 1, row <= findTestData(""przykladowe_dane"").getRowNumbers(), (row++)])",Chrome 87.0.4280.141,,,2021-01-15 20:14:14,2021-01-15 20:14:46,"31,684s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 20:14:46,2021-01-15 20:14:47,"1,357s",PASSED
,,,,,,,
Test Cases/TC_Rejestracja-logowanie/5Poprawne logowanie,Chrome 87.0.4280.141,,,2021-01-15 20:14:47,2021-01-15 20:15:08,"20,985s",PASSED
openBrowser(site_url),Chrome 87.0.4280.141,,,2021-01-15 20:14:48,2021-01-15 20:14:57,"9,032s",PASSED
maximizeWindow(),Chrome 87.0.4280.141,,,2021-01-15 20:14:57,2021-01-15 20:14:59,"2,197s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:14:59,2021-01-15 20:15:02,"3,143s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email""), correct_email)",Chrome 87.0.4280.141,,,2021-01-15 20:15:02,2021-01-15 20:15:03,"0,897s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input_Password_passwd""), correct_password)",Chrome 87.0.4280.141,,,2021-01-15 20:15:03,2021-01-15 20:15:04,"0,504s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Sign in""))",Chrome 87.0.4280.141,,,2021-01-15 20:15:04,2021-01-15 20:15:07,"3,212s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My account - My Store/h1_My account""), ""MY ACCOUNT"")",Chrome 87.0.4280.141,,,2021-01-15 20:15:07,2021-01-15 20:15:07,"0,482s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 20:15:07,2021-01-15 20:15:08,"0,839s",PASSED
